DisputeID,StDay,StMon,StYear,EndDay,EndMon,EndYear,stDate,endDate,durationDays,MaxHost,Total Fatality,MaxHostLev,MaxFatalityLev,United Kingdom,United States of America,China,Soviet Union
137,4,5,1831,11,5,1831,4-5-1831,11-5-1831,7,Display of Force,0,3,0,2,0,0,0
139,-9,12,1934,2,2,1935,1/12/1934,2/2/1935,60,Use of Force,-1,4,2,0,0,2,0
141,7,6,1880,25,2,1881,7-6-1880,25-2-1881,261,Display of Force,0,3,0,2,0,0,2
142,18,7,1821,10,8,1821,18-7-1821,10-8-1821,23,Use of Force,0,4,0,0,0,0,2
144,9,7,1854,-9,10,1854,9-7-1854,1-10-1854,84,Use of Force,0,4,0,1,2,0,0
145,24,3,1927,28,3,1927,24-3-1927,28-3-1927,4,Use of Force,-1,4,0,2,2,1,0
146,16,8,1827,-9,4,1828,16-8-1827,1-4-1828,228,Use of Force,-1,4,6,2,0,0,2
147,-9,1,1821,24,3,1821,1-1-1821,24-3-1821,82,Use of Force,-1,4,2,0,0,0,0
148,22,4,1959,1,8,1960,22-4-1959,1/8/1960,468,Use of Force,-1,4,1,0,0,2,0
149,18,11,1856,26,5,1857,18-11-1856,26-5-1857,190,Display of Force,0,3,0,0,0,0,0
151,2,5,1926,23,9,1926,2/5/1926,23-9-1926,143,Use of Force,0,4,0,0,2,0,0
152,-9,12,1896,14,6,1898,1-12-1896,14-6-1898,559,Use of Force,0,4,0,1,0,0,0
153,22,6,1833,10,7,1833,22-6-1833,10-7-1833,19,Display of Force,0,3,0,2,0,0,1
154,8,11,1850,29,11,1850,8-11-1850,29-11-1850,21,Use of Force,0,4,0,0,0,0,1
156,-9,2,1906,12,5,1906,1/2/1906,12/5/1906,103,Use of Force,0,4,0,1,0,0,0
157,7,7,1937,7,12,1941,7/7/1937,7/12/1941,1614,War,-1,5,6,0,0,1,0
158,28,2,1921,9,9,1921,28-2-1921,9/9/1921,195,Use of Force,0,4,0,0,2,0,0
159,2,11,1903,25,1,1904,2/11/1903,25-1-1904,85,Use of Force,0,4,0,0,2,0,0
160,21,3,1838,9,3,1839,21-3-1838,9-3-1839,353,Use of Force,-1,4,2,0,0,0,0
164,31,5,1904,28,6,1904,31-5-1904,28-6-1904,27,Display of Force,0,3,0,2,2,0,0
165,2,11,1911,29,9,1912,2/11/1911,29-9-1912,332,Use of Force,-1,4,-1,0,0,0,2
166,16,4,1908,17,6,1908,16-4-1908,17-6-1908,62,Use of Force,0,4,0,0,0,0,2
167,10,3,1821,8,4,1821,10-3-1821,8-4-1821,28,Use of Force,-1,4,-1,0,0,0,0
169,1,9,1939,29,9,1939,1/9/1939,29-9-1939,28,Use of Force,-1,4,-1,0,0,0,2
172,25,2,1962,19,12,1962,25-2-1962,19-12-1962,300,Use of Force,0,4,0,0,1,2,0
173,22,7,1958,19,12,1958,22-7-1958,19-12-1958,150,Use of Force,-1,4,-1,0,1,2,2
174,7,3,1936,7,3,1936,7/3/1936,7/3/1936,0,Display of Force,0,3,0,0,0,0,0
175,24,4,1849,1,7,1849,24-4-1849,1-7-1849,69,War,-1,5,6,1,1,1,1
177,11,1,1923,11,7,1923,11/1/1923,11/7/1923,181,Use of Force,0,4,0,1,1,1,1
178,-9,4,1932,23,3,1935,1/4/1932,23-3-1935,1087,Use of Force,-1,4,-1,0,0,0,2
179,8,10,1939,12,3,1940,8/10/1939,12/3/1940,156,War,-1,5,6,0,0,0,2
180,29,6,1903,15,9,1905,29-6-1903,15-9-1905,809,War,-1,5,6,0,0,0,2
182,-9,12,1935,31,3,1936,1/12/1935,31-3-1936,121,Use of Force,-1,4,-1,0,0,0,2
183,26,5,1939,16,9,1939,26-5-1939,16-9-1939,112,War,-1,5,6,0,0,0,2
184,9,7,1938,11,8,1938,9/7/1938,11/8/1938,33,War,-1,5,6,0,0,0,2
185,17,10,1956,21,10,1956,17-10-1956,21-10-1956,4,Use of Force,0,4,0,0,0,0,2
186,12,7,1920,3,8,1920,12/7/1920,3/8/1920,22,Threat to Use Force,0,2,0,2,0,0,1
187,31,10,1876,31,1,1878,31-10-1876,31-1-1878,457,War,-1,5,6,0,0,0,2
189,-9,11,1827,14,9,1829,1-11-1827,14-9-1829,683,War,-1,5,6,0,0,0,2
191,18,12,1888,16,3,1889,18-12-1888,16-3-1889,88,Use of Force,0,4,0,1,1,0,0
194,23,7,1863,30,4,1864,23-7-1863,30-4-1864,281,War,0,5,6,1,0,0,0
196,1,7,1893,3,8,1893,1-7-1893,3-8-1893,33,War,0,5,5,1,0,0,0
197,12,1,1918,1,4,1920,12/1/1918,1/4/1920,809,Use of Force,-1,4,-1,2,2,0,1
198,1,9,1848,11,9,1848,1-9-1848,11-9-1848,10,Display of Force,0,3,0,2,0,0,0
199,2,11,1961,21,11,1962,2/11/1961,21-11-1962,384,War,-1,5,6,0,0,1,0
200,6,11,1956,6,11,1956,6/11/1956,6/11/1956,0,War,0,5,6,1,1,0,2
202,14,4,1883,9,6,1885,14-4-1883,9-6-1885,787,War,-1,5,6,0,0,2,0
203,23,6,1959,31,10,1961,23-6-1959,31-10-1961,862,Use of Force,-1,4,-1,0,0,1,0
207,-9,1,1858,8,6,1858,1-1-1858,8-6-1858,157,Use of Force,0,4,0,2,1,0,0
208,10,3,1953,31,3,1953,10/3/1953,31-3-1953,21,Use of Force,0,4,1,2,2,0,1
210,28,7,1936,29,3,1939,28-7-1936,29-3-1939,974,Use of Force,-1,4,6,0,0,0,0
211,9,4,1920,9,4,1920,9/4/1920,9/4/1920,0,Use of Force,0,4,0,1,1,1,1
212,-9,2,1888,-9,3,1888,1-2-1888,1-3-1888,31,Display of Force,0,3,0,1,0,0,0
216,-9,11,1836,-9,12,1836,1-11-1836,1-12-1836,31,Use of Force,0,4,0,1,0,0,2
217,-9,8,1840,27,11,1840,1-8-1840,27-11-1840,117,Display of Force,0,3,0,1,0,0,1
220,22,8,1870,5,10,1870,22-8-1870,5-10-1870,44,Display of Force,0,3,0,0,2,1,0
224,4,11,1865,24,11,1865,4-11-1865,24-11-1865,20,Display of Force,0,3,0,2,0,0,0
225,7,11,1861,26,12,1861,7-11-1861,26-12-1861,50,Use of Force,0,4,0,1,2,0,0
227,27,8,1861,21,9,1861,27-8-1861,21-9-1861,24,Use of Force,0,4,2,1,0,0,2
228,-9,3,1881,-9,8,1881,1-3-1881,1-8-1881,153,Display of Force,0,3,0,0,0,0,0
230,29,4,1919,13,3,1921,29-4-1919,13-3-1921,685,Use of Force,-1,4,-1,0,0,0,0
231,26,4,1849,25,5,1849,26-4-1849,25-5-1849,30,Use of Force,0,4,0,0,0,0,0
235,4,7,1940,7,7,1940,4/7/1940,7/7/1940,3,War,-1,5,-1,2,0,0,0
236,6,10,1849,13,11,1849,6-10-1849,13-11-1849,37,Display of Force,0,3,0,2,0,0,1
237,28,12,1899,15,1,1900,28-12-1899,15-1-1900,18,Use of Force,0,4,0,2,0,0,0
238,10,5,1913,14,5,1913,10/5/1913,14-5-1913,4,Display of Force,0,3,0,2,0,0,0
239,22,7,1864,14,9,1864,22-7-1864,14-9-1864,53,Use of Force,-1,4,-1,2,2,0,0
241,5,5,1923,11,6,1923,5/5/1923,11/6/1923,36,Use of Force,0,4,0,1,0,0,2
242,21,10,1904,5,11,1904,21-10-1904,5/11/1904,14,Use of Force,0,4,0,1,0,0,2
246,22,4,1960,26,4,1961,22-4-1960,26-4-1961,369,Use of Force,0,4,0,0,1,0,2
247,-9,1,1905,-9,1,1905,1/1/1905,1/1/1905,0,Display of Force,0,3,0,0,2,0,0
248,31,1,1932,13,2,1932,31-1-1932,13-2-1932,11,Display of Force,0,3,0,2,2,0,0
249,-9,5,1910,-9,5,1910,1/5/1910,1/5/1910,0,Display of Force,0,3,0,0,2,0,0
251,9,4,1965,9,4,1965,9/4/1965,9/4/1965,0,Use of Force,-1,4,-1,0,1,2,0
252,15,4,1946,4,10,1946,15-4-1946,4/10/1946,173,Display of Force,0,3,0,0,1,0,2
253,1,5,1960,18,7,1960,1/5/1960,18-7-1960,78,Use of Force,0,4,0,0,2,0,1
254,8,12,1902,19,2,1903,8/12/1902,19-2-1903,70,Use of Force,0,4,0,2,1,0,0
256,31,10,1873,10,11,1873,31-10-1873,10-11-1873,9,Use of Force,0,4,0,1,1,0,0
257,17,4,1917,11,11,1918,17-4-1917,11/11/1918,573,War,-1,5,6,1,1,0,1
258,7,12,1941,14,8,1945,7/12/1941,14-8-1945,1346,War,-1,5,6,2,2,2,2
259,3,6,1956,6,9,1958,3/6/1956,6/9/1958,825,Use of Force,-1,4,-1,2,0,0,0
260,26,9,1914,25,5,1915,26-9-1914,25-5-1915,242,Use of Force,0,4,0,0,0,1,0
261,5,5,1866,26,7,1866,5-5-1866,26-7-1866,82,War,-1,5,6,0,0,0,0
262,5,9,1944,5,9,1944,5/9/1944,5/9/1944,0,Use of Force,0,4,0,1,1,1,2
266,8,2,1958,17,6,1958,8/2/1958,17-6-1958,131,Use of Force,0,4,0,0,0,0,0
301,-9,11,1835,-9,12,1835,1-11-1835,1-12-1835,31,Display of Force,0,3,0,0,1,0,0
304,20,4,1854,22,11,1854,20-4-1854,22-11-1854,216,Display of Force,0,3,0,0,0,0,1
306,17,9,1860,19,1,1861,17-9-1860,19-1-1861,125,Display of Force,-1,3,-1,0,0,0,0
307,6,5,1877,13,6,1878,6-5-1877,13-6-1878,402,Display of Force,0,3,0,2,0,0,1
309,25,3,1898,1,4,1898,25-3-1898,1-4-1898,6,Display of Force,0,3,0,2,0,1,0
310,-9,10,1905,-9,12,1905,1/10/1905,1/12/1905,61,Display of Force,0,3,0,0,0,0,0
311,2,4,1908,20,4,1908,2/4/1908,20-4-1908,18,Display of Force,0,3,0,0,0,0,0
312,-9,11,1910,28,12,1910,1/11/1910,28-12-1910,58,Use of Force,0,4,0,0,0,0,0
313,15,3,1910,14,10,1910,15-3-1910,14-10-1910,213,Display of Force,0,3,0,2,0,0,0
314,2,10,1911,15,10,1911,2/10/1911,15-10-1911,13,Display of Force,0,3,0,0,0,0,0
315,21,7,1911,21,7,1911,21-7-1911,21-7-1911,0,Display of Force,0,3,0,1,0,0,0
316,16,1,1912,27,1,1912,16-1-1912,27-1-1912,11,Use of Force,0,4,0,0,0,0,0
317,2,11,1912,31,3,1913,2/11/1912,31-3-1913,150,Display of Force,0,3,0,0,0,0,2
320,20,10,1914,23,5,1915,20-10-1914,23-5-1915,215,War,0,5,0,0,0,0,0
321,10,3,1916,5,2,1917,10/3/1916,5/2/1917,329,Use of Force,-1,4,-1,0,2,0,0
322,13,5,1916,29,11,1916,13-5-1916,29-11-1916,199,Use of Force,-1,4,-1,0,2,0,0
323,6,6,1916,27,6,1917,6/6/1916,27-6-1917,386,Use of Force,-1,4,1,2,0,0,0
324,27,11,1916,29,6,1917,27-11-1916,29-6-1917,214,War,-1,5,0,1,1,1,1
327,16,3,1920,23,8,1920,16-3-1920,23-8-1920,160,Use of Force,0,4,0,2,0,0,0
328,16,9,1922,24,7,1923,16-9-1922,24-7-1923,312,Use of Force,0,4,0,2,0,0,0
336,30,8,1937,30,8,1937,30-8-1937,30-8-1937,0,Use of Force,0,4,0,0,0,0,1
337,14,12,1938,20,6,1940,14-12-1938,20-6-1940,553,Use of Force,0,4,0,1,0,0,0
339,2,4,1940,7,12,1941,2/4/1940,7/12/1941,615,War,0,5,0,0,2,0,0
343,2,10,1966,7,6,1968,2/10/1966,7/6/1968,613,Use of Force,-1,4,1,0,0,2,1
345,10,6,1967,19,6,1967,10/6/1967,19-6-1967,9,Display of Force,0,3,0,0,1,0,2
346,16,7,1968,12,11,1968,16-7-1968,12/11/1968,118,Use of Force,0,4,0,0,0,0,2
347,23,1,1968,22,12,1968,23-1-1968,22-12-1968,334,Use of Force,0,4,0,0,1,0,0
349,2,3,1969,13,12,1969,2/3/1969,13-12-1969,286,Use of Force,-1,4,3,0,0,2,1
350,14,2,1969,17,5,1969,14-2-1969,17-5-1969,95,Use of Force,0,4,0,0,1,0,0
352,1,1,1969,7,11,1969,1/1/1969,7/11/1969,309,Use of Force,-1,4,3,0,0,2,0
353,6,10,1973,31,10,1973,6/10/1973,31-10-1973,25,Display of Force,0,3,0,0,2,0,1
354,1,9,1972,8,11,1973,1/9/1972,8/11/1973,433,Use of Force,0,4,1,1,0,0,0
355,15,1,1974,20,1,1974,15-1-1974,20-1-1974,5,Use of Force,-1,4,1,0,0,1,0
356,12,5,1975,15,5,1975,12/5/1975,15-5-1975,3,Use of Force,-1,4,1,0,1,0,0
358,20,10,1975,20,10,1975,20-10-1975,20-10-1975,0,Use of Force,-1,4,1,0,0,2,0
360,-9,10,1975,29,11,1975,1/10/1975,29-11-1975,58,Display of Force,0,3,0,1,0,0,0
361,3,2,1976,3,2,1976,3/2/1976,3/2/1976,0,Use of Force,-1,4,1,0,0,0,0
362,18,8,1976,31,8,1976,18-8-1976,31-8-1976,13,Use of Force,-1,4,1,0,1,0,0
363,4,2,1976,11,2,1976,4/2/1976,11/2/1976,7,Use of Force,0,4,0,1,0,0,0
364,14,3,1974,14,9,1974,14-3-1974,14-9-1974,183,Use of Force,0,4,0,0,0,2,1
365,6,9,1976,-9,11,1976,6/9/1976,1/11/1976,56,Display of Force,0,3,0,0,0,0,2
366,27,8,1821,27,2,1822,27-8-1821,27-2-1822,181,Display of Force,0,3,0,1,1,1,1
367,20,7,1828,28,8,1828,20-7-1828,28-8-1828,39,Use of Force,0,4,0,0,0,0,0
368,22,10,1832,21,5,1833,22-10-1832,21-5-1833,211,Use of Force,0,4,0,1,0,0,0
370,28,8,1830,-9,9,1830,28-8-1830,1-9-1830,3,Display of Force,0,3,0,0,0,0,0
371,-9,1,1842,13,3,1842,1-1-1842,13-3-1842,71,Threat to Use Force,0,2,0,2,0,0,0
373,-9,1,1846,8,6,1846,1-1-1846,8-6-1846,157,Display of Force,0,3,0,2,1,0,0
374,1,4,1848,9,8,1848,1-4-1848,9-8-1848,131,Use of Force,0,4,0,0,0,0,0
375,-9,4,1848,-9,4,1848,1-4-1848,1-4-1848,0,War,0,5,6,1,0,0,1
377,-9,4,1852,-9,6,1852,1-4-1852,1-6-1852,61,Display of Force,0,3,0,0,0,0,0
378,24,3,1898,24,3,1898,24-3-1898,24-3-1898,0,Threat to Use Force,0,2,0,0,0,1,2
379,24,3,1898,10,4,1898,24-3-1898,10-4-1898,16,Use of Force,0,4,0,0,0,1,0
380,10,5,1856,31,5,1856,10-5-1856,31-5-1856,21,Use of Force,0,4,0,2,1,0,0
381,19,11,1864,27,11,1864,19-11-1864,27-11-1864,8,Display of Force,0,3,0,0,0,0,0
391,6,9,1898,5,10,1898,6-9-1898,5-10-1898,30,Use of Force,0,4,0,2,0,0,2
394,13,9,1914,13,3,1915,13-9-1914,13-3-1915,182,Use of Force,-1,4,-1,0,0,0,0
395,-9,2,1916,10,3,1916,1/2/1916,10/3/1916,40,War,-1,5,-1,0,0,0,0
396,14,8,1916,27,8,1916,14-8-1916,27-8-1916,13,War,0,5,0,0,0,0,0
397,9,10,1915,14,10,1915,9/10/1915,14-10-1915,5,War,0,5,0,1,0,0,1
398,10,2,1915,21,7,1915,10/2/1915,21-7-1915,164,Use of Force,0,4,0,0,2,0,0
399,9,10,1916,17,4,1917,9/10/1916,17-4-1917,189,War,-1,5,-1,0,1,0,0
400,5,4,1917,11,11,1918,5/4/1917,11/11/1918,585,Use of Force,0,4,0,0,0,0,0
406,1,4,1930,1,4,1930,1/4/1930,1/4/1930,0,Display of Force,0,3,0,0,0,0,0
407,-9,9,1931,-9,9,1931,1/9/1931,1/9/1931,0,Display of Force,0,3,0,0,0,0,0
409,31,5,1937,6,7,1937,31-5-1937,6/7/1937,36,Use of Force,-1,4,1,0,0,0,1
410,23,9,1938,1,12,1938,23-9-1938,1/12/1938,70,Display of Force,0,3,0,0,0,0,2
414,10,4,1941,11,12,1941,10/4/1941,11/12/1941,246,War,-1,5,3,0,2,0,0
418,21,5,1940,25,10,1940,21-5-1940,25-10-1940,157,War,-1,5,-1,0,0,0,0
420,30,4,1941,23,5,1941,30-4-1941,23-5-1941,24,Use of Force,-1,4,-1,2,0,0,0
421,12,10,1941,-9,12,1941,12/10/1941,1/12/1941,50,Use of Force,0,4,0,1,1,1,1
501,5,2,1831,5,2,1831,5-2-1831,5-2-1831,0,Threat to Use Force,-1,2,-1,2,0,0,0
502,12,2,1864,21,7,1864,12-2-1864,21-7-1864,162,Display of Force,0,3,0,0,0,0,0
503,23,9,1939,18,10,1939,23-9-1939,18-10-1939,26,Use of Force,0,4,0,0,0,0,2
504,-9,2,1940,15,6,1940,1/2/1940,15-6-1940,136,Use of Force,0,4,0,0,0,0,2
505,10,6,1940,17,6,1940,10/6/1940,17-6-1940,7,Use of Force,0,4,0,0,0,0,2
506,12,7,1881,-9,8,1881,12-7-1881,1-8-1881,20,Display of Force,0,3,0,0,0,2,0
507,25,4,1882,17,6,1882,25-4-1882,17-6-1882,53,Display of Force,0,3,0,0,0,1,0
508,9,7,1866,9,7,1866,9-7-1866,9-7-1866,0,Threat to Use Force,0,2,0,0,0,0,0
509,5,8,1866,7,8,1866,5-8-1866,7-8-1866,2,Threat to Use Force,0,2,0,0,0,0,0
510,2,4,1920,25,10,1922,2/4/1920,25-10-1922,937,Use of Force,0,4,0,0,0,0,1
511,24,2,1899,-9,4,1899,24-2-1899,1-4-1899,38,Display of Force,0,3,0,0,0,1,0
518,-9,6,1941,13,12,1941,1/6/1941,13-12-1941,196,War,0,5,0,1,1,0,1
521,22,7,1917,11,11,1918,22-7-1917,11/11/1918,476,Use of Force,0,4,0,0,0,0,0
522,8,5,1918,11,11,1918,8/5/1918,11/11/1918,186,Use of Force,0,4,0,0,0,0,0
523,16,8,1941,29,1,1942,16-8-1941,29-1-1942,166,Use of Force,-1,4,-1,2,0,0,2
601,20,1,1972,20,1,1972,20-1-1972,20-1-1972,0,Use of Force,0,4,0,0,1,0,0
602,12,11,1972,22,11,1972,12/11/1972,22-11-1972,10,Use of Force,0,4,0,0,1,0,0
603,2,8,1946,3,8,1946,2/8/1946,3/8/1946,1,Display of Force,0,3,0,2,0,0,1
604,-9,7,1949,9,9,1949,1/7/1949,9/9/1949,69,Use of Force,-1,4,-1,2,0,0,0
605,30,7,1956,12,12,1956,30-7-1956,12/12/1956,135,Use of Force,-1,4,-1,0,0,2,0
606,20,10,1956,14,11,1956,20-10-1956,14-11-1956,24,War,-1,5,6,1,1,1,2
607,25,4,1957,19,11,1957,25-4-1957,19-11-1957,208,Use of Force,0,4,2,0,1,0,2
608,7,11,1958,23,6,1959,7/11/1958,23-6-1959,228,Use of Force,0,4,0,1,1,0,2
610,22,10,1962,30,6,1965,22-10-1962,30-6-1965,981,Use of Force,-1,4,-1,1,0,0,0
611,23,2,1964,27,1,1973,23-2-1964,27-1-1973,3263,War,-1,5,6,0,2,1,1
612,27,2,1921,-9,5,1921,27-2-1921,1/5/1921,66,Display of Force,0,3,0,0,0,0,2
613,23,11,1940,22,1,1941,23-11-1940,22-1-1941,61,War,-1,5,5,0,0,0,0
614,23,2,1944,23,2,1944,23-2-1944,23-2-1944,0,Use of Force,0,4,0,0,0,0,0
616,1,11,1935,28,11,1935,1/11/1935,28-11-1935,27,Use of Force,-1,4,-1,0,0,1,0
617,4,2,1942,4,2,1942,4/2/1942,4/2/1942,0,Display of Force,0,3,0,2,0,0,0
619,15,11,1975,1,6,1976,15-11-1975,1/6/1976,199,Use of Force,0,4,0,1,0,0,0
620,5,1,1939,16,1,1939,5/1/1939,16-1-1939,11,Threat to Use Force,0,2,0,1,0,0,0
621,16,1,1943,6,9,1945,16-1-1943,6/9/1945,963,Use of Force,0,4,0,0,0,0,0
622,9,9,1943,9,9,1943,9/9/1943,9/9/1943,0,Use of Force,0,4,0,0,0,0,0
623,-9,7,1965,28,11,1966,1/7/1965,28-11-1966,514,Use of Force,-1,4,2,0,0,1,0
624,-9,4,1963,-9,4,1963,1/4/1963,1/4/1963,0,Display of Force,0,3,0,0,0,0,0
625,29,7,1922,29,7,1922,29-7-1922,29-7-1922,0,Threat to Use Force,0,2,0,2,0,0,0
632,4,4,1917,11,11,1918,4/4/1917,11/11/1918,586,Use of Force,0,4,0,0,0,0,0
633,27,6,1950,7,8,1950,27-6-1950,7/8/1950,42,Use of Force,0,4,1,0,2,1,0
634,1,10,1949,24,1,1950,1/10/1949,24-1-1950,115,Use of Force,0,4,0,0,1,2,0
1002,28,4,1963,3,6,1963,28-4-1963,3/6/1963,36,Use of Force,0,4,0,1,1,0,0
1006,20,4,1950,4,8,1955,20-4-1950,4/8/1955,1933,Use of Force,-1,4,3,0,0,0,0
1008,12,10,1956,26,10,1956,12/10/1956,26-10-1956,14,Use of Force,0,4,3,1,0,0,0
1013,12,1,1957,7,11,1957,12/1/1957,7/11/1957,298,Use of Force,-1,4,-1,1,1,1,1
1017,28,10,1965,28,10,1965,28-10-1965,28-10-1965,0,Use of Force,0,4,0,1,1,1,1
1018,14,6,1962,4,7,1962,14-6-1962,4/7/1962,21,Use of Force,-1,4,1,1,1,1,1
1019,25,8,1963,29,10,1963,25-8-1963,29-10-1963,65,Use of Force,-1,4,1,0,0,0,0
1020,24,1,1964,5,9,1965,24-1-1964,5/9/1965,589,Use of Force,-1,4,1,0,0,0,0
1021,15,4,1960,15,8,1962,15-4-1960,15-8-1962,853,Use of Force,-1,4,1,0,0,0,0
1022,18,12,1961,17,8,1962,18-12-1961,17-8-1962,242,Use of Force,-1,4,-1,0,0,0,0
1023,16,8,1951,14,12,1951,16-8-1951,14-12-1951,120,Use of Force,0,4,0,0,0,0,0
1024,7,11,1957,27,2,1959,7/11/1957,27-2-1959,475,Use of Force,0,4,0,0,0,0,0
1025,-9,8,1927,-9,9,1927,1/8/1927,1/9/1927,30,Display of Force,0,3,0,0,0,0,0
1026,22,8,1928,13,5,1929,22-8-1928,13-5-1929,264,Use of Force,-1,4,1,0,0,0,0
1027,15,6,1931,12,6,1935,15-6-1931,12/6/1935,1458,War,-1,5,6,0,0,0,0
1028,3,10,1936,4,10,1936,3/10/1936,4/10/1936,1,Use of Force,-1,4,1,0,0,0,0
1029,-9,6,1938,21,7,1938,1/6/1938,21-7-1938,51,Display of Force,0,3,0,0,0,0,0
1035,17,5,1967,10,6,1967,17-5-1967,10/6/1967,23,War,-1,5,6,0,0,0,0
1039,11,6,1970,26,9,1970,11/6/1970,26-9-1970,107,Use of Force,0,4,3,1,1,0,2
1042,-9,6,1948,-9,6,1948,1/6/1948,1/6/1948,0,Use of Force,-1,4,-1,0,0,0,0
1043,21,2,1973,21,2,1973,21-2-1973,21-2-1973,0,Use of Force,-1,4,-1,0,0,0,0
1046,10,8,1973,24,10,1973,10/8/1973,24-10-1973,75,War,-1,5,6,0,0,0,0
1051,12,5,1968,15,6,1968,12/5/1968,15-6-1968,33,Use of Force,-1,4,-1,0,0,0,0
1058,-9,9,1943,-9,9,1943,1/9/1943,1/9/1943,0,Use of Force,0,4,0,0,0,0,0
1061,15,4,1974,18,6,1974,15-4-1974,18-6-1974,64,Use of Force,0,4,0,0,0,0,0
1062,28,8,1953,20,12,1953,28-8-1953,20-12-1953,114,Display of Force,0,3,0,0,0,0,0
1063,-9,8,1908,23,12,1908,1/8/1908,23-12-1908,144,Use of Force,0,4,0,0,0,0,0
1066,17,12,1941,17,12,1941,17-12-1941,17-12-1941,0,Use of Force,0,4,0,0,0,0,0
1067,15,7,1967,7,8,1970,15-7-1967,7/8/1970,1119,Use of Force,-1,4,3,0,0,0,0
1068,15,8,1970,14,10,1970,15-8-1970,14-10-1970,60,Use of Force,0,4,0,0,0,0,0
1069,23,7,1968,1,9,1968,23-7-1968,1/9/1968,39,Use of Force,0,4,0,0,0,0,0
1070,13,2,1963,14,11,1965,13-2-1963,14-11-1965,1007,Use of Force,-1,4,3,1,0,0,0
1072,4,4,1968,13,12,1968,4/4/1968,13-12-1968,254,Display of Force,-1,3,-1,0,0,0,0
